k,algorithm,image,mean
4,KMeans,outside31.jpg,771.6997467818311
4,RandomIncrementalClusterer,outside31.jpg,2886.0637297453704
4,BoundedSelfOrgCluster,outside31.jpg,1554.1134740447212
8,PlusPlusSeed,outside31.jpg,934.9399344135802
8,KMeans,outside31.jpg,350.9238502860444
8,RandomIncrementalClusterer,outside31.jpg,873.6831423611111
8,BoundedSelfOrgCluster,outside31.jpg,525.8014498345519
2,PlusPlusSeed,outside41.jpg,4503.700125868056
2,KMeans,outside41.jpg,2803.199583100087
2,RandomIncrementalClusterer,outside41.jpg,8810.064312789353
2,BoundedSelfOrgCluster,outside41.jpg,6153.043382692372
4,PlusPlusSeed,outside41.jpg,2528.065832368827
4,KMeans,outside41.jpg,953.8673304653178
4,RandomIncrementalClusterer,outside41.jpg,2614.0038194444446
4,BoundedSelfOrgCluster,outside41.jpg,1220.8216384772072
8,PlusPlusSeed,outside41.jpg,2602.8630758101854
8,KMeans,outside41.jpg,469.3515156030451
8,RandomIncrementalClusterer,outside41.jpg,6968.785144193673
8,BoundedSelfOrgCluster,outside41.jpg,580.0520079310928
2,PlusPlusSeed,outside51.jpg,3752.5272217399693
2,KMeans,outside51.jpg,3221.895032725828
2,RandomIncrementalClusterer,outside51.jpg,4589.917568962192
2,BoundedSelfOrgCluster,outside51.jpg,8563.682951352474
4,PlusPlusSeed,outside51.jpg,2565.5276938657407
4,KMeans,outside51.jpg,1035.4557642055179
4,RandomIncrementalClusterer,outside51.jpg,1550.9531684027777
4,BoundedSelfOrgCluster,outside51.jpg,1879.4958214704088
8,PlusPlusSeed,outside51.jpg,4267.826869212963
8,KMeans,outside51.jpg,447.5479515760885
8,RandomIncrementalClusterer,outside51.jpg,894.2963990162037
8,BoundedSelfOrgCluster,outside51.jpg,712.104587455016
2,PlusPlusSeed,outside61.jpg,5584.074063464506
2,KMeans,outside61.jpg,2661.774175495766
2,RandomIncrementalClusterer,outside61.jpg,3240.4609375
2,BoundedSelfOrgCluster,outside61.jpg,2705.691025309662
4,PlusPlusSeed,outside61.jpg,2573.1492144097224
4,KMeans,outside61.jpg,762.3645371437975
4,RandomIncrementalClusterer,outside61.jpg,2972.0319285300925
4,BoundedSelfOrgCluster,outside61.jpg,1453.1497227723858
8,PlusPlusSeed,outside61.jpg,1832.834442515432
8,KMeans,outside61.jpg,356.3377128019214
8,RandomIncrementalClusterer,outside61.jpg,763.9794936342593
8,BoundedSelfOrgCluster,outside61.jpg,833.0580685898423
2,PlusPlusSeed,outside71.jpg,3450.190156732253
2,KMeans,outside71.jpg,2349.7585987516886
2,RandomIncrementalClusterer,outside71.jpg,13522.145562789352
2,BoundedSelfOrgCluster,outside71.jpg,6787.5478854970315
4,PlusPlusSeed,outside71.jpg,3089.0143769290125
4,KMeans,outside71.jpg,888.2549185340929
4,RandomIncrementalClusterer,outside71.jpg,5463.478105709876
4,BoundedSelfOrgCluster,outside71.jpg,1412.473619670515
8,PlusPlusSeed,outside71.jpg,2031.5943142361111
8,KMeans,outside71.jpg,393.0007737670995
8,RandomIncrementalClusterer,outside71.jpg,932.7795158179013
8,BoundedSelfOrgCluster,outside71.jpg,561.4269365920859
2,PlusPlusSeed,outside81.jpg,3239.9311964699073
2,KMeans,outside81.jpg,2686.8949301116672
2,RandomIncrementalClusterer,outside81.jpg,5386.651431809413
2,BoundedSelfOrgCluster,outside81.jpg,7310.968790507812
4,PlusPlusSeed,outside81.jpg,1403.196546585648
4,KMeans,outside81.jpg,930.0337732200346
4,RandomIncrementalClusterer,outside81.jpg,2180.16667341821
4,BoundedSelfOrgCluster,outside81.jpg,3421.6641439032455
8,PlusPlusSeed,outside81.jpg,862.0766661844136
8,KMeans,outside81.jpg,455.94581035048253
8,RandomIncrementalClusterer,outside81.jpg,753.7278829089506
8,BoundedSelfOrgCluster,outside81.jpg,842.6043842014346
2,PlusPlusSeed,outside91.jpg,10446.657924382716
2,KMeans,outside91.jpg,2825.3066823960335
2,RandomIncrementalClusterer,outside91.jpg,5598.9383034336415
2,BoundedSelfOrgCluster,outside91.jpg,7448.39352218066
4,PlusPlusSeed,outside91.jpg,3888.1913994984566
4,KMeans,outside91.jpg,1122.9142877864062
4,RandomIncrementalClusterer,outside91.jpg,2246.0705150462964
4,BoundedSelfOrgCluster,outside91.jpg,2918.048681925227
8,PlusPlusSeed,outside91.jpg,1358.9106626157406
8,KMeans,outside91.jpg,603.135443275755
8,RandomIncrementalClusterer,outside91.jpg,1284.5397092013889
8,BoundedSelfOrgCluster,outside91.jpg,813.05788732808
